Item ID,Product Name,Full Name,Brand,Category,Price (SGD),Original Price (SGD),Discount,Sold,Rating,URL
480140691,ARINO T-1134DSS Lever Handle Two Way Tap,ARINO T-1134DSS Lever Handle Two Way Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Arino,Basin Taps,53.9,,,1,1,https://www.lazada.sg/products/pdp-i480140691.html
2036691992,Grohe 23707003 EuroStyle Basin Mixer Tap S Size,Grohe 23707003 EuroStyle Basin Mixer Tap S Size/BASIN TAP/UNIDBOX/BATHROOM/FAUCET/GROGE,Grohe,Basin Taps,199.0,239.0,17%,,,https://www.lazada.sg/products/pdp-i2036691992.html
1191662077,POZZI GINA-921LBB Basin Mixer(BLACK),POZZI GINA-921LBB Basin Mixer(BLACK)/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,259.9,299.0,13%,,,https://www.lazada.sg/products/pdp-i1191662077.html
1191604742,POZZI GINA-921BB Basin Mixer(BLACK),POZZI GINA-921BB Basin Mixer(BLACK)/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,219.9,259.0,15%,,,https://www.lazada.sg/products/pdp-i1191604742.html
509650750,POZZI GINA-321L Basin Tap,POZZI GINA-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,212.0,,,,,https://www.lazada.sg/products/pdp-i509650750.html
509602806,POZZI PRO-321L Basin Tap,POZZI PRO-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,210.0,,,,,https://www.lazada.sg/products/pdp-i509602806.html
509700127,POZZI HAN-321L Basin Tap,POZZI HAN-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,205.0,,,,,https://www.lazada.sg/products/pdp-i509700127.html
509582110,POZZI TAI-321L Basin Tap,POZZI TAI-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,199.0,,,,,https://www.lazada.sg/products/pdp-i509582110.html
509600207,POZZI KRIS-321L Basin Tap,POZZI KRIS-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,195.0,,,,,https://www.lazada.sg/products/pdp-i509600207.html
509636043,POZZI XAM-321L Basin Tap,POZZI XAM-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,189.0,,,,,https://www.lazada.sg/products/pdp-i509636043.html
509690366,POZZI VEN-321L Basin Tap,POZZI VEN-321L Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,167.0,,,,,https://www.lazada.sg/products/pdp-i509690366.html
1191056034,POZZI KRIS-321LBB Basin Tap(BLACK),POZZI KRIS-321LBB Basin Tap(BLACK)/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,145.9,189.0,23%,,,https://www.lazada.sg/products/pdp-i1191056034.html
1190934692,POZZI GINA-321LBB Basin Tap,POZZI GINA-321LBB Basin Tap/Basin Faucets/Home Appliances/Cleaning/Washing Tap/Basin Tap,Pozzi,Basin Taps,139.9,189.0,26%,,,https://www.lazada.sg/products/pdp-i1190934692.html
